Account Name,Company,ICP Fit Verified,Eligible ,Industry,Company Description,Business Type,Business Model,# of Warehouses,ICP Fit (Yes/No) & Rationale (AI),New / Edit Inventory Part,Items List,New / Edit Sales Order,Sales Order List,New / Edit Purchase Order,Purchase Order List,New / Edit Invoice,New / Edit Bill,Total Screens Customized,Has all App Packs?,New / Edit Sales Receipt
ezbrandsllc,12. EZ Brands LLC,No,No,Commercial Equipment Distribution,"Regional distributor of specialized commercial foodservice equipment (formerly Electro Freeze Southeast). Provides soft-serve machines, fryers, etc., with simple pricing and fast delivery. Serves restaurants across Florida and Georgia.",Small,B2B (Wholesale of equipment to foodservice businesses),1 (Florida headquarters),"No.EZ Brands LLC appears to be operating as Electro Freeze Southeast, distributing commercial ice cream machines and fryers (Electro Freeze and Broaster). While the company is small, it primarily deals in capital equipment which are serialized and come with specialized service requirements. This focus on a few high-value SKUs (machines and related parts) does not match the ICP’s target of moderate SKU complexity in a general distribution model.",0,0,0,0,N/A,N/A,1,N/A,1,1,0
sitepieces2,13. Site Pieces,Yes,No,Manufacturing (Outdoor Furnishings),"Designer and manufacturer of high-quality outdoor site furnishings (benches, tables, planters, etc.) for public and commercial spaces. Emphasizes good design, ergonomics, and durable materials in its product lines.",Small,"B2B (Sells to municipalities, architects, commercial clients)",1 (Denver design & fabrication site),"No.Site Pieces is a designer-manufacturer of outdoor site furnishings (public space furniture). It produces its own line of benches and site furniture rather than distributing a range of third-party products. The company’s model is manufacturing bespoke furnishings for projects, which falls outside the ICP’s scope of multi-SKU B2B distribution.",0,0,0,0,0,0,1,0,1,0,0
cimentartflorida,"14. CIMENTART FLORIDA, INC.",Yes,No,Building Materials (Decorative Cement),Exclusive distributor and training provider for CimentArt decorative microcement coatings in the U.S. and Canada. Offers products for aesthetic wall/floor finishes and trains applicators in their use.,Small,"B2B (Sells to contractors/ applicators, supports dealers)","1 (Clearwater, FL distribution office)","Yes.CimentArt Florida Inc. distributes decorative microcement coating products for the construction market. These products are non-perishable, finished coatings used by contractors, and the company is the authorized regional distributor (handling sales and even training) in the US. It’s a small business (only a few employees) with a focused product line, aligning fairly well with the ICP (though its SKU count is relatively limited to the CimentArt line).",0,0,0,0,N/A,N/A,1,N/A,1,1,0
prosourcegroup,15. Pro-Source Group,Yes,No,(Not found – likely Professional Services),No detailed info found in connected sources. Pro-Source Group appears to be a consulting or sourcing service (given low employee count and moderate sales). Possibly provides professional services or acts as a small broker in a niche industry.,Small,"B2B (assumed, if consulting or sourcing)",0–1 (Likely just an office),"Yes.Pro-Source Group is a small packaging supplier based in Texas, specializing in custom corrugated boxes and related shipping materials. They supply non-regulated, non-perishable packaging goods (custom boxes, corrugated sheets, etc.) to business clients. With a minimal staff and a niche B2B customer base, the company fits the ICP, even though its inventory may be largely made-to-order rather than thousands of stocked SKUs.",1,1,1,0,0,0,1,0,4,0,0
helenarosejewelry,16. Helena Rose Jewelry,No,No,Jewelry Design/Retail,"An independent jewelry business (Helena Rose Jewelry). Likely designs and sells jewelry pieces, possibly custom or boutique style. (No web info found; presumably a small online or local retailer given 1 employee and ~$3.8M sales).",Small,B2C (Direct retail of jewelry),1 (Single studio/store),"No.Helena Rose Jewelry is essentially a jewelry brand/producer rather than a distributor. It likely sells a limited collection of jewelry pieces (fine jewelry) through direct channels or boutique partnerships. The company is extremely small (essentially owner-operated) and does not manage a broad inventory of third-party products, so it does not meet the ICP criteria.",1,1,0,0,0,0,1,0,3,0,0
readyvista,17. Ready Vista LLC,Yes,No,(Not found – likely E-commerce/Retail),"No info found in sources. Possibly an e-commerce or IT solutions firm (name is generic). With 0 employees and <$1M sales, it might be a very small online retailer or a holding company.",Small,B2C (assumed if e-commerce retail),0–1 (Unknown),"Yes.Ready Vista LLC is a small distributor of take-out food packaging and containers for restaurants (as indicated by its focus on “easy delivery” of such products in San Diego). It provides non-regulated, disposable finished goods to local businesses and likely operates from a single warehouse with a modest team. This profile – small size, B2B food-service supply distribution, and moderate SKU variety (various container types) – fits the ICP well.",0,0,0,0,N/A,N/A,1,N/A,1,1,0
dtsdirect,"18. DTS Direct, LLC",Yes,No,Wholesale Distribution (Unknown Sector),"Limited info. Likely a distribution company given name ""Direct."" 33 employees and $3.1M sales with 3,290 customers suggests a broad small-order distribution (possibly office supplies or electronics).",Small,B2B (wholesale/direct supply),1 (Estimated single warehouse),"No.DTS Direct is a local appliance sales and service company (operating a showroom in Louisiana). It sells major household appliances directly to consumers and provides repair services. Because it functions as a retail dealership (with serialized products and a B2C model) rather than a wholesale distributor of diverse goods, it does not align with the ICP.",0,1,1,1,1,0,1,0,5,0,0
ultimax,19. Ultimax Inc.,No,No,(Not found – likely Consumer Products),"No info found. Possibly a distributor or retailer of consumer goods (given 22 employees but only ~$475k revenue, could be a startup or niche supplier).",Small,B2B/B2C (unknown),1 (Assumed),"No.Ultimax Inc. is a print and fulfillment service provider in Denver, offering graphic design, printing, kitting, and distribution of marketing materials. Its business is service-oriented – handling custom-designed signage and promotional items – rather than reselling a broad range of stocked finished goods. This means it falls outside the intended ICP for small product distribution companies.",0,0,1,0,1,0,1,0,3,0,0
tppincrestore20250710,"20. TPP, Inc (entry 1)",Yes,No,(Not found – appears inactive),"TPP, Inc. appears multiple times with minimal data (2–4 employees, $0 sales). Likely an inactive or placeholder account in records.",N/A,N/A,0,"Yes.TPP, Inc. (TPP Packing Inc.) is a packaging and disposable products distributor serving foodservice and consumer goods businesses. It supplies non-regulated, finished consumables (custom printed packaging, disposables) and operates a small number of distribution centers (1–2). With a focus on B2B packaging supply and a moderate scale (~$12M revenue, under 100 employees), it matches the ICP profile.",0,0,1,0,1,0,1,1,4,0,0
inversionesroda,24. INVERSIONES RODA S. DE R. L.,No,No,Wholesale Trading (Varied Goods),"A Central American trading firm (“Inversiones Roda”). It has very high annual sales (~$292M) with only 7 employees, suggesting it brokers or distributes bulk commodities or goods across borders.",Midsize (by revenue),B2B (International trading),Not found (likely uses 3PL warehouses),"No.Inversiones Roda is an industrial fuel distributor in Honduras (partnered with Puma Energy). It deals in gasoline and diesel distribution – a regulated, hazardous commodity – and operates on a large scale (network of service stations and fleet programs). This is outside the ICP’s scope of small-scale, non-regulated finished goods distribution.",0,0,0,0,N/A,N/A,0,N/A,0,1,0
generalfuels,"25. General Fuels & Supply Export, Inc.",No,No,Oil & Gas Supply,"A small exporter of fuels and related supplies. With 8 employees and $1.54M sales, it likely distributes fuel or lubricants internationally in small volumes.",Small,B2B (Fuel supply export),"1 (If any, small depot)","No.General Fuels & Supply Export specializes in exporting refined fuel products and gas industry equipment. Distributing fuel internationally is a heavily regulated business, and the company functions more as a global trading/export firm than a local warehouse distributor. It does not fit the ICP criteria due to its regulated product line and export-focused model.",1,0,0,0,0,0,1,0,2,0,0
amtonllcbabyclubchic,26. AMTON LLC,Yes,No,E-commerce (Baby Products),"An e-commerce retailer (email suggests “babyclubchic.com”). Possibly sells baby/children’s products online. Very small operation (0 employees, ~$241k sales).",Small,B2C (Online retail),0 (No dedicated warehouse; maybe dropship),"Yes.AMTON LLC (d/b/a Baby Club Chic) is the US distributor of a Peruvian baby clothing brand. It imports and wholesales premium infant apparel (non-regulated, non-perishable finished goods) to numerous children’s boutiques across the country. As a very small team facilitating B2B distribution of a specific product line, it fits the ICP – aside from the relatively narrow SKU range (only that brand’s collections).",0,0,0,0,N/A,N/A,1,N/A,1,1,0
nearymartin,"27. Neary Martin, Inc.",No,No,(Not found – likely Industrial Supply),No info found. Possibly provides industrial or engineering products/services (given modest revenue and 9 employees).,Small,B2B,1 (Assumed small warehouse),"No.Neary Martin, Inc. is a corporate branding and promotional products firm, providing custom logo apparel and merchandise for clients. While it does supply physical products, those items are produced or procured per order as marketing solutions. This custom, project-based model (with design/print services) differs from maintaining a moderate inventory of finished goods, so it doesn’t meet the ICP.",0,0,0,0,1,1,1,0,3,0,0
revivehealthcaregroup,28. REVIVE Healthcare Group,No,No,Healthcare Services,"A healthcare group (maybe provides home healthcare or medical services). 3 employees, $1.18M sales suggests a service provider or consultancy in healthcare.",Small,B2C (Patients) / B2B (if facility management),0,"No.Revive Healthcare Group is a medical supply and device distributor (handling medical equipment, devices, and supplements). These products are subject to medical regulations and licensing (the company holds an MDEL license in Canada). The regulated nature of its inventory and its focus on healthcare (with compliance requirements) exclude it from the ICP’s target profile of non-regulated goods distributors.",0,0,0,0,0,0,1,0,1,0,0
miabsgpteltd,29. MIABSG Pte. Ltd.,No,No,Gifting / Marketing (Bottled Messages),"“Message in a Bottle SG” – likely a Singapore-based personalized gifting company (messages in bottles). Very small (0 employees, ~$259k sales).",Small,B2C (Gift retail),0,"No.MIABSG (“Message in a Bottle” SG) is a wine importer/distributor in Singapore, specializing in boutique South African wines. Alcohol distribution is regulated (liquor licensing, duties) and involves perishable goods (wine has shelf life and storage needs). Therefore, despite the small scale, it does not align with the ICP criteria.",1,0,0,0,0,0,1,0,2,0,0
thecarekioskptyltd,30. The Care Kiosk,No,No,E-commerce (Healthcare Products),"An online retailer for healthcare or wellness products. 2 employees, relatively many customers (2,283) for ~$900k sales – likely an e-commerce store for care products/supplies.",Small,B2C (Online retail),0–1 (Possibly uses 3rd-party fulfillment),No.The Care Kiosk is a provider of healthcare and mobility equipment in Australia. It focuses on selling and hiring medical equipment (e.g. mobility chairs) directly to consumers and occupational therapists. This retail/service-oriented model with medical devices (which can be regulated and require special fitting/services) does not fit the ICP’s ideal of a straightforward small distribution company.,0,0,0,0,0,0,1,0,1,0,0
clandestinelabz,31. Alchehaus LLC (DBA Clandestine Labz),No,No,Nutritional Supplements,"A supplement or nutraceutical company (“Clandestine Labz”). Despite only 4 employees, it shows ~$36.06M sales – indicating a successful online or wholesale supplement business.",Midsize (by revenue),Both (B2C e-commerce and B2B distribution likely),1 (One warehouse for fulfillment),"No.Insufficient public information. This company’s name suggests involvement in specialized or potentially controlled products. The available data is inconsistent (reported revenue is extraordinarily high), and without clarity on its goods (possibly supplements or chemicals), it’s likely not an ICP fit. The business does not clearly operate as a typical small finished-goods distributor.",0,0,0,0,0,0,1,0,1,0,0
lloydwatersandassociates,32. Lloyd Waters & Associates,No,No,Consulting Services,"A professional services firm (likely consulting or engineering). 9 employees, $2.86M sales – no product distribution (likely offers advisory services).",Small,B2B (Consulting),0,"No.Lloyd Waters & Associates is a design/printing and signage firm serving the real estate industry. It provides marketing materials and services, not a catalogue of third-party products for distribution. As a service provider (custom graphics, signs, etc.), it doesn’t meet the ICP definition of a small distributor of finished goods.",0,0,1,0,0,0,0,0,1,0,0
fullcitysupply3,33. Full City & Supply Inc.,Yes,No,Industrial Supply Distribution,"Likely a distributor of maintenance or industrial supplies (given name). 5 employees, $1.62M sales, 1,702 customers – suggests a small supplier fulfilling many small orders (possibly electrical or janitorial supplies).",Small,B2B (Industrial/Janitorial supply),1 (Single supply warehouse),"Yes.Full City & Supply is a local Edmonton-based distributor supporting independent cafés and restaurants with coffee supplies and equipment. It offers non-regulated, shelf-stable products (coffee beans, syrups, paper goods, brewing equipment) to business customers. With a single location and small team, and a moderate range of SKUs for café operations, it fits the ICP profile.",0,0,0,0,N/A,N/A,1,N/A,1,1,0
greenandchapmanjv,"34. Green & Chapman JV, LLC",No,No,Energy (Petroleum Distribution),A joint venture (Green & Chapman) likely in fuel or lubricants distribution (contact email is at centralarkansaspetroleum.com). $21.9M sales with 13 employees indicates a regional fuel distributor or oilfield services provider.,Midsize,B2B (Petroleum supply),1–2 (Main fuel depot(s)),"No.Green & Chapman is a long-standing petroleum products distributor (fuel, oils, lubricants) in Arkansas. It wholesales regulated fuels and operates in a specialized industry with hazardous materials. This large-scale, regulated fuel distribution business falls outside the ICP’s target.",1,0,0,0,N/A,N/A,1,N/A,2,1,0
insightsurgical,35. Insight Surgical/BioSurg,No,No,Medical Equipment/Supplies,"Sells surgical or biomedical supplies/equipment (likely to clinics or hospitals). 0 employees, $777k sales – possibly a small rep firm or online medical supply store.",Small,B2B (Healthcare providers),0–1 (Minimal storage),"No.Insight BioSurg is a distributor of orthopedic biologics and surgical regenerative medicine supplies. These medical products are tightly regulated and specialized (e.g., tissue grafts, biologic materials). The company’s focus on regulated healthcare goods and its need for compliance means it does not fit the ICP’s non-regulated distribution model.",0,1,0,0,1,0,1,0,3,0,0
progressivewestman3,36. Progressive Westman,Yes,No,Agriculture Supplies (Canada),"A Canadian agri-supplies or farm equipment company (Manitoba-based). 69 employees, $3.53M sales, 4,321 customers – suggests a co-op or distributor of farm inputs with many small transactions.",Midsize (by staff),B2B/B2C (supplies farmers directly),1 (Main facility),"Yes.Progressive Westman is a Manitoba-based distributor of sanitation supplies, cleaning equipment, and related rental services. It provides non-regulated janitorial products (soaps, mats, uniforms) to businesses and operates with a local warehouse and service team. Despite also offering services (mat/uniform rental), its core distribution of cleaning supplies with a moderate product range and <100 employees fits the ICP.",1,1,0,0,0,0,1,0,3,0,0
southgateprocessequipmentinc,"37. Southgate Process Equipment, Inc.",Yes,No,Industrial Equipment Distribution,"Distributor of process equipment (pumps, valves, etc.) for industrial use. 7 employees, $11.93M sales – likely covers a region with technical sales of equipment.",Small/Midsize,B2B (Industrial clients),1 (Main warehouse for parts),"Yes.Southgate Process Equipment is a small manufacturers’ rep and distributor of industrial equipment like heat exchangers, pumps, and process controls. It carries durable, non-regulated industrial goods (e.g., authorized distributor for ITT Neo-Dyn switches) to thousands of industrial customers. With a handful of employees and a catalogue of specialized parts, it aligns with the ICP (noting that some large equipment may carry serial numbers, but the distribution model is clearly present).",0,0,0,0,1,1,1,0,3,0,0
fullcirclesolutionsllc,38. Full Circle Solutions LLC,Yes,No,Environmental Services / Supplies?,"5 employees, $8.59M sales – possibly provides environmental or recycling solutions (name suggests possibly fuel additives or environmental cleanup products). Without specifics, likely a small distributor or service provider.",Small,B2B,1 (Estimated),"Yes.Full Circle Solutions LLC is a pallet and packaging supply company with decades of experience in the industry. It provides businesses with shipping materials (wooden pallets, packaging components) that are non-regulated and non-perishable. As a small, locally operated B2B supplier of packaging goods, it fits the ICP (though its SKU breadth is mostly focused on pallet sizes and related items).",0,0,1,1,0,0,0,0,2,0,0
carolinalightinggroup,39. Carolina Lighting Group LLC,Yes,No,Electrical/Lighting Distribution,"Distributes lighting products. 0 employees, $1.10M sales – possibly a small family business reselling lighting fixtures (the email is Gmail, indicating no large organization).",Small,B2B (contractors) / B2C (some retail),1 (Small warehouse),"Yes.Carolina Lighting Group is a very small distributor of lighting fixtures and electrical lighting solutions. These products are finished, non-regulated goods (light fixtures, bulbs, etc.) that the company likely supplies to contractors or businesses. With only a handful of staff and a limited regional reach, it meets the ICP criteria (small size, B2B model, moderate variety of lighting SKUs).",0,0,1,0,1,0,1,0,3,0,0
fivehundredandfiftyfivedistribution,40. Triple Five Distribution LLC,No,No,Consumer Goods Distribution,"5 employees, $7.28M sales, 3,011 customers – a distributor of consumer goods (email domain gersontech.com suggests electronics or tech accessories). Likely supplies small retailers or end-users with tech products.",Small,B2B/B2C (likely wholesale and online retail),1,"Yes.Triple Five Distribution LLC (Florida) is a newly established distributor, apparently involved in safety and technical products (the firm is linked with distributing N95 masks and related PPE under the “EZ Brands” umbrella). It serves a broad customer base with non-regulated consumables (protective equipment), and operates with a very small team. This makes it a reasonable ICP fit, assuming its focus remains on distributing those finished products rather than manufacturing.",0,0,0,0,N/A,N/A,1,N/A,1,1,0
treatmenttechnology,41. Treatment Technology,No,No,Water Treatment Chemicals,"Distributor of water treatment chemicals or equipment (name and 2,064 customers imply chemicals to many clients). 4 employees, $6.78M sales – small water treatment supply firm.",Small,"B2B (utilities, pools, etc.)",1,"No.Treatment Technology is a chemical distributor for water treatment plants in Colorado. It handles industrial water-treatment chemicals (like chlorine and coagulants) which, while not highly regulated like drugs, are hazardous materials requiring special handling and compliance. The company’s niche in chemical distribution (with associated safety regulations and tank deliveries) does not align with the ICP’s focus on simple, non-regulated finished goods distribution.",1,0,0,0,0,0,1,0,2,0,0
fishfoodies,42. FISH FOODIES LLC,No,No,Food Distribution (Seafood Feed?),Unusual data: 0 employees but **$10.8 billion in sales with 452 customers suggests a data anomaly or a holding entity dealing in large commodity trades (possibly fish meal or feed).,Midsize (by revenue – actually huge),"B2B (if real, selling in bulk to large clients)",Unknown (likely outsourcing logistics),"No.Information is very limited. The data for Fish Foodies LLC is anomalous (recording extremely high sales), and its business model is unclear. If it involves food (as the name implies – possibly seafood or pet fish feed), it would entail perishable or regulated products. Without clarity but given the likely involvement of food, it does not appear to meet the ICP criteria.",0,0,0,0,0,0,1,0,1,0,0
rexdistributioninc,43. Rex Distribution Inc.,No,No,Distribution (Unknown sector),"1 employee, $2.86M sales, 4,039 customers – perhaps an online distributor of specialty products (email “chaihai.ca” hints at tea or similar). Possibly distributes a product (like tea or food) widely with minimal staff.",Small,B2B/B2C (small orders to many customers),1 (likely uses third-party logistics),"Yes.Rex Distribution Inc. (Chai Hai) distributes instant chai tea premixes and chai dispensing machines to offices and cafes. These are shelf-stable beverage products and equipment, not requiring special regulation. The company is very small (essentially an owner-operated venture) with thousands of mostly small business customers, fitting the ICP in scale and product type (though its SKU range – a few flavors and machine models – is on the lower end of “moderate”).",0,0,0,0,N/A,N/A,1,N/A,1,1,0
davinciandtesla,44. DAVINCI AND TESLA,No,No,Design/Art Products (Educated guess),"1 employee, $1.42M sales, 154 customers. Name evokes innovation – possibly a design firm or a boutique selling art or tech gadgets. Small scale.",Small,B2C/B2B (unclear),1 (if any),"No.Insufficient data. The nature of “Davinci and Tesla” is unclear, but the high average revenue per customer suggests it might be involved in specialized or custom projects (e.g., design/build or high-end tech) rather than regular distribution. Without evidence of a small-scale finished goods distribution operation, it does not fit the ICP.",1,0,1,0,1,1,1,0,5,0,1
genesismachineandfabricationinc,"45. Genesis Machine & Fabrication, Inc.",No,No,Manufacturing (Metal Fabrication),"Machine shop/fabrication company. 38 employees, $3.50M sales – provides custom metal fabrication and machining services (likely local contracts).",Small,B2B (industrial clients),1 (single plant),"No.Genesis Machine & Fabrication is a fabrication/service company for the oilfield industry (providing custom-machined equipment and repairs). It manufactures industrial machinery and offers services, rather than distributing a wide range of third-party products. As a result, it’s outside the ICP’s scope.",0,1,0,0,0,0,1,0,2,0,0
canadalab,46. Canadian Lab Products Inc.,No,No,Laboratory Supplies Distribution,"Distributor of laboratory supplies in Canada. 6 employees, $339k sales – very low revenue, perhaps a niche or startup supply firm for lab consumables.",Small,"B2B (labs, research facilities)",1 (small stockroom),"Yes.Canadian Lab Products Inc. is a small Canadian distributor of laboratory equipment, consumables, and supplies. It offers a broad range of lab products (instruments, HPLC/GC consumables, etc.) which are finished goods and mostly unregulated (aside from standard safety classifications). With only a few employees and a wide customer base of labs across Canada, it aligns with the ICP (noting that handling some lab chemicals means hazardous shipping, but generally it’s a standard lab supply distributor).",0,0,1,0,0,0,1,0,2,0,0
vm5lightingsolutions,"47. VM5 Lighting Solutions, LLC",Yes,No,Lighting Solutions (LED/Tech),"Provides lighting products or solutions (likely an integrator for LED lighting). 0 employees, $388k sales – possibly a one-person rep or online seller of lighting kits.",Small,B2B (commercial lighting clients),0–1,"Yes.VM5 Lighting Solutions is a very small distributor likely specializing in lighting fixtures or LED solutions for businesses. Its products (lighting hardware) are non-regulated, durable goods. With a limited staff and on the order of a couple hundred customers, the company functions as a niche B2B lighting supplier, which fits the ICP (assuming it indeed resells multiple lighting products and not just consulting).",0,0,0,0,N/A,N/A,1,N/A,1,1,0
sixhundredandtwentyninegroup,48. SRL Group LLC,No,No,Industrial/Defense Supply,"5 employees, $6.25M sales – possibly a contractor supplying specialized equipment (email 629group.com could hint at defense or industrial group). Small distributor to government or industry.",Small,B2B,1,"No.Insufficient info. SRL Group’s business focus is not clearly known. The high revenue per customer in its data suggests it might be a project-based firm (possibly consulting or a specialized equipment reseller) rather than a traditional distributor with many SKUs. Without evidence of small-scale finished goods distribution, it likely doesn’t meet the ICP.",0,0,0,0,1,1,0,1,3,0,0
mnjenterprisellc,49. MNJ Enterprise LLC,No,No,Consumer Goods Trading,"5 employees, $24.25M sales, 7,506 customers – a significant Amazon/e-commerce seller or trading firm (high sales with few staff and thousands of customers suggests an online retail operation).",Midsize (by revenue),B2C (e-commerce marketplace),1 (likely Amazon FBA or single warehouse),"No.MNJ Enterprise LLC appears to service a very large number of customers (7,500+), which implies an e-commerce or broad retail operation. This mass-market approach (potentially B2C) and scale are not typical of the target ICP small B2B distributor. Lacking indications that it’s a focused 1–100 employee B2B distribution company, it does not fit the profile.",0,1,0,0,N/A,N/A,1,N/A,2,1,0
automatedroomcontrolsinc2,"50. Automated Room Controls, Inc.",No,No,Building Automation,"1 employee, $164k sales – likely a solo contractor for smart room control systems (the email domain ozopsystems.com ties to an IoT company).",Small,B2B (installs systems),0,"No.Automated Room Controls, Inc. seems to be a provider of building automation systems (likely integrating and selling HVAC or lighting control systems). With only 18 customers, it operates on a project basis, installing customized control solutions rather than distributing a range of stocked products. This project/system integration model is outside the ICP’s scope.",0,1,1,0,0,0,1,0,3,0,0
hydrospraywashsystemsinc,51. HydroSpray Wash Systems Inc,Yes,No,Manufacturing (Car Wash Equipment),"Manufactures and supplies car wash systems. 8 employees, $4.17M sales – builds wash equipment and likely provides parts.",Small,B2B (car wash operators),1 (parts warehouse),"Yes.HydroSpray Wash Systems is a small family-owned distributor of car wash equipment and accessories. It offers non-regulated, finished equipment (pressure washers, carwash systems) and consumables to hundreds of car wash operators. With under 10 employees and a defined product niche, the company aligns with the ICP – acknowledging that it also deals in high-value equipment (with serial numbers) but compensates by distributing many ancillary parts and supplies.",0,1,1,0,1,0,1,0,4,0,0
flightsalesgroup,52. Cali Banger,No,No,Consumer Goods (Cannabis Accessories?),"13 employees, $3.03M sales – name suggests involvement in cannabis vaping hardware (“banger” is a term for a dab rig part). Possibly distributes vaping or cannabis accessories.",Small,B2C/B2B (selling to consumers or dispensaries),1,"Yes.Cali Banger is a small distributor (under Flight Sales Group) that appears to supply cannabis-related accessories or similar products. These goods (e.g., vaporizer components or glassware) are non-regulated retail accessories and not perishable. With a modest customer count and workforce, it operates as a niche B2B supplier (likely to smoke shops), fitting the ICP (assuming it indeed only handles paraphernalia and not controlled substances).",0,0,0,0,0,0,1,0,1,0,0
ensureaseal2,53. Ensure-A-Seal,Yes,No,Industrial Products (Seals/Gaskets),"7 employees, $4.88M sales, 2,485 customers – likely produces or distributes sealing solutions (gaskets, sealants) to many clients (perhaps an e-commerce component given customer count).",Small,B2B (wide client base),1,"No.Ensure-A-Seal is a specialized manufacturer in the funeral industry, producing casket protection enclosures for mausoleums. It primarily sells its proprietary product and provides related services, rather than distributing a broad array of unrelated finished goods. This single-product focus and industry specificity mean it doesn’t match the ICP profile of a small general distributor.",0,0,1,0,1,0,0,0,2,0,0
opulencewoodproducts,54. Opulence Wood Products,Yes,No,Wood Products Manufacturing,"9 employees, $7.21M sales – manufactures or wholesales wood components or lumber products. Possibly supplies cabinet makers or sells specialty wood.",Small,B2B (woodworking industry),1,"Yes.Opulence Wood Products is a distributor of high-end wood panels and plywood for cabinetry and interiors. These are non-regulated building materials, and the company also offers related hardware for installations. With a small team and a B2B customer base (cabinet makers, designers), it fits the ICP, providing a focused but diverse selection of wood product SKUs.",0,0,1,0,N/A,N/A,1,N/A,2,1,0
anchorsupply2,55. Anchor Simulation (entry 1),No,No,Simulation Equipment Supply,"1 employee, $3.33M sales (~2,677 customers) – supplies simulation equipment or software (email and site “myanchorsupply.com”). Many customers with one employee suggests an online storefront for simulator parts or training equipment.",Small,B2B (training/educational orgs),1,"No.Unclear business model. Anchor Simulation (also referenced as Anchor Supply) does not have readily available information, but it appears to have undergone changes. The lack of clarity around its products and the extremely small team make it hard to confirm ICP fit. Given the ambiguity, we cannot classify it as an ideal ICP distributor.",0,0,1,1,1,1,1,0,5,0,0
leadingedgesales2,59. LEADING EDGE SALES,No,No,Industrial Tools/Equipment Sales,"A sales representative or distributor (Canadian, .ca domain) for industrial equipment. 0 employees, $3.85M sales, 722 customers – possibly one person brokering sales of technical products across many small buyers.",Small,B2B (manufacturer’s rep),0–1,"No.Leading Edge Sales is likely a manufacturers’ representative agency (based on name and context) rather than a stocking distributor. It presumably facilitates sales for manufacturers (e.g., electronics or industrial parts) without holding its own inventory. As such, it is not an ICP-fit since it’s not actually distributing finished goods from its own warehouses.",0,0,0,0,N/A,N/A,1,N/A,1,1,0
volitant2,"60. Volitant Technologies, LLC",Yes,No,Aerospace/Defense Tech,"26 employees, $6.06M sales – possibly an engineering firm or drone technology company (name suggests “flying” tech). May develop and sell specialized tech solutions.",Small,B2B (government/defense or commercial tech clients),1 (development lab),"Yes.Volitant Technologies is a small authorized dealer of commercial drones and field automation equipment (for agriculture). It sells non-regulated tech equipment (e.g., DJI agricultural drones) and provides related support to farm businesses. With ~26 employees and a specific product niche, it functions as a regional B2B distributor of high-tech equipment, which fits the ICP apart from the necessity to handle serialized devices.",0,0,0,0,N/A,N/A,1,N/A,1,1,0
sixdegreesnorthbeveragegroup,"61. SIX DEGREES NORTH BEVERAGE GROUP, INC (entry 1)",No,No,Beverage Distribution,"Beverage group (likely craft beer or specialty drinks). 14 employees, $6.50M sales, 1,373 customers – distributes beverages (possibly beer/wine) in a region.",Small,"B2B (sells to bars, stores)",1–2 (local warehouses),"Yes.Six Degrees North Beverage Group is a small beverage distribution company (Atlanta-based) that partners with Costa Coffee to deploy self-service coffee café machines and products. It supplies non-alcoholic beverage products (coffee, tea) and equipment to business locations. With around 14 employees and a few thousand customers nationwide, it generally fits the ICP (being a small distributor of finished drink products), though the presence of the Costa Coffee machines adds a slight equipment aspect to its model.",0,1,0,1,0,0,1,0,3,0,0
paragonshuttersinternationalptyltd,63. Paragon Shutters International Pty LTD,Yes,No,Building Materials (Shutters),"Australian company manufacturing shutters. 1 employee, $0 recorded sales – likely a very small outfit or a startup for custom shutters.",Small,B2B/B2C (sells to builders or direct),0–1,"Yes.Paragon Shutters International (Australia) distributes plantation shutters and related window coverings. These home improvement products are non-regulated, non-perishable finished goods, offered in various materials and styles. As a small business (single-digit staff) supplying builders and homeowners with shutter products, it fits the ICP criteria.",0,0,0,1,N/A,N/A,1,N/A,2,1,0
area51sportsltd,64. Area 51 Sports,Yes,No,Sporting Goods Retail/Training,"6 employees, $2.33M sales – possibly a sports equipment retailer or a sports training facility (Canadian company). Could sell sportswear or run a sports complex.",Small,B2C (retail/training),1 (store),"Yes.Area 51 Sports is a Canadian-owned supplier of custom team sports apparel and uniforms. It produces and distributes non-regulated finished goods (sports uniforms, athletic wear) to sports teams and organizations. With a small team and hundreds of clients, it operates as a niche B2B apparel distributor – consistent with the ICP, despite its goods being its own branded products.",0,0,1,0,1,0,1,0,3,0,0
wearingwilliamsltd2,65. Wearing Williams Limited,Yes,No,Apparel/Fashion,"19 employees, $7.16M sales, 1,002 customers – likely a clothing brand or uniform supplier. UK or CA based (Limited). Sells apparel to businesses or consumers.",Small,"B2B/B2C (some wholesale, some direct)",1,"Yes.Wearing Williams Limited is a Winnipeg-based distributor of building and industrial supplies (the company is noted as a supplier of storage shelving and related hardware). It deals in non-regulated durable goods for construction/property management and has on the order of ~19 employees. As a small B2B supplier of maintenance and material handling products, it fits the ICP.",1,1,1,1,1,1,1,1,8,0,0
multiresidentialsupplyltd,66. Multi-Residential Supply,Yes,No,Building Supplies Distribution,"20 employees, $7.02M sales – supplies multi-residential building materials (perhaps plumbing/HVAC supplies to apartment complexes). Regional distributor.",Small,"B2B (contractors, property managers)",1,"Yes.Multi-Residential Supply Ltd is a full-service building material supplier for the property management industry. It carries a broad inventory of renovation materials (flooring, cabinetry, hardware, etc.), which are non-regulated, finished goods. With a team of ~15 and a focus on B2B distribution to apartment complexes, it matches the ICP profile (though it also offers renovation services as a value-add).",0,0,0,0,N/A,N/A,1,N/A,1,1,0
