Title,Description,Estimated Difficulty,Solution,# of Requests,# of Accounts Req.,# of Users Impacted,Value,Tags,Note from Product
Proposal Improvement - Ability to Edit Sent Proposals (Proposals that have not been accepted),"The customer would like the ability to change the rate being billed for a recurring proposal. Currently out of box you cannot edit a sent proposal, you have to reject it and create a copy to make changes.",X-Small (1 -2 hours),"This is customizable. 

If the proposals <> Rejected or Accepted.
Then allow the users to edit.",1,1,4,"2,400.00",,
Time Tracking App Improvement - Convert Time Tracking to Bill,"Customer currently has a number of vendors they track time for.
They would like to convert the time tracking entries into bills for expense purposes.",X-Small (1 -2 hours),"Possible.

Loop through vendors, create a bill
Attach all time tracking entries as dated line entries.
We can create a 'billable rate' field on the table to keep track of cost per vendor as well and total cost of the bill.",1,1,2,"1,200.00",,
Ability to edit Proposal transaction numbers,The customer would like to see if it is possible to edit the proposal transaction numbers so they can create their own sequence.,X-Small (1 -2 hours),"This can certainly be customized.

We would create a custom field to keep track and then increment from the number.",1,1,1,0.00,,
Payment Gateway Improvement - All for better testing without using an actual payment information,"It has been brought to the attention of the PS Team that there are customizable stock features that cannot be tested on Customer Accounts; specifically the Push Notifications and the Payment Widget.  We feel like this is a gap in our Customizable CRM. 

The current work around to test these new features it to implement that same features in our test accounts and test them there first and then implement on the Customer’s account. This would double the consulting time the PS Team and Partners need to implement these new features. 

Please implement a way where we can test these stock features with customization.",Cannot be customized,"At this time, any M11 or Method.me email account can add a 'Stripe' sandbox account for testing. 

This can be done by going to the Payment gateway screen, adding stripe, and selecting Skip Form (Test Only).",1,1,4,0.00,Team_-_Impact,
Ability to convert the Invoices back to Estimates,"The customer mentioned that they want to convert the Invoices back to Estomates.

They mentioned that Because a lot of our invoices are recurring each year and I want to put it back into an estimate to add a contract to it for this season. Is there any other way you can suggest.",X-Small (1 -2 hours),"This can be customized.

Loop Through invoice, insert Estimate

The customer could also just find the original estimate and duplicate that estimate.
Then convert that to a new invoice.",1,1,4,"2,400.00",,
Estimate Preference Improvement - Avoid creating an invoice from an estimate marked as closed,"Customer is asking ' We want to know if there is a way to avoid an invoice to be created from an estimate that it has marked as 'closed'. If I am not wrong once we invoice an estimate the status changed as closed, but if you try to create another invoice from the same closed estimate, you can do it without any problem.'

I checked in QuickBooks and we can only create an invoice for the ones that have status 'Accepted' only.

In Method, we can create Invoice from an Estimate irrespective of the status + even if an invoice has already been created for that estimate.",X-Small (1 -2 hours),"Very simple customization.

On the create invoice button we would wire up a condition to check if the estimate is closed.

If this value is true, then we would stop processing actions and notify the user why the estimate could not be converted to an invoice.",1,1,15,"9,000.00",,
Integration with Caldav,"The customer would like to integrate with Caldav. 
Outlook CalDav Synchronizer is a free Outlook Plugin, which synchronizes events, tasks and contacts between Outlook and Google, SOGo, Nextcloud or any other CalDAV or CardDAV server.",Should not be customized,"At this time, I would say this should not be customized.

Since Activities in particular are tricky and need to be sync'd back and forth.
In general any 'manual' integration, we created today would not be a good solution for the customer.",1,1,4,"2,400.00",,
Field Crew App Improvement - Provide a better experience to educate customers on how to track time in Field Crew App - Show a pop up message asking users to link to QB entity when tracking time,"David emailed to ask that when he clicks start timer within field crew app, it only gives an option mark as completed rather than to stop it. 
I noticed you have to actually link a user to QB entity to record the timings/track time, and stop timer will not show up if you haven't linked a user with QB entity. It will let you start it though and to stop - you have to mark as completed.

It will be great to  not let them click start at all and show a message saying 'hey you are not linked to any QB entity, it will not record the time for you'",X-Small (1 -2 hours),"This can certainly be customized. 

A couple of suggestions:

1.) Notify the FC User when they log into the app that their user is not setup to track time
2.) Notify the Admin on the account that someone has logged into Field Crew but has not been linked to the entity. 
3.) Work on a intelligent application where we try to match up the user name to an employee or vendor on file.",1,1,2,"1,200.00",,
Chart Widget Improvement - Drilldown column formatting,"Customer is asking if there is a way to format/define grid column display data when using drill down in the chart builder. 

He was looking to remove decimal points  on numeric columns.
It would also be great for format date information. 

This will be a great feature to have.",Cannot be customized,,1,1,23,"13,800.00",Team_-_Impact,
Dashboard Improvement - Ability to hide the apps from the dashboard left side panel completely,The customer is looking to hide the apps they don't use often from the left side panel of the Dashboard to keep it clean and easy to access the most used apps.,Cannot be customized,This can only be changed by removing access to the app completely which is not ideal.,1,1,3,0.00,,
Ability to see email campaign analytics when sending from own server,"Customer is looking to get email campaign analytics (open and click rates) through Office 365.

They mentioned 'They use office 365 because when using methods server it says 'viamethods' in the email we do not want that'

Currently, the will need to use Method as email server to view these analytics.",Cannot be customized,"Cannot be customized. 

At this time, tracking is done through Send Grid, so this functionality would need to surface in another form.
Good +1.",1,1,6,"3,600.00",,
Advanced Search Improvement - Allow for users to use contains and other options for Number and Decimal fields,"I have a field that today calculates age in days. 
Sometimes this field is a decimal, and it's very difficult for me to return a list of all records where the 'age' was  60. 

Since the age can return 60.02 or 60.98.
Technically both of these are still 60 but I am unable to search using starts with or contains criteria.

In contrast, using customization, I can create a grid view that does support these operations. It would be great if the customization operators could be used in Advanced Search.",X-Small (1 -2 hours),"Work around today is to create a view via customization / custom grid views
Here you will have access to process and filter the data better using additional filtering options not available in Advanced Search.",1,1,45,"27,000.00",Component_-_Grids,"Michael Melo - Sept 20, 2024

Using Chips and is between should allow this to be solved (Though there is a bug with maximum for decimal I will log.

Will this solution solve this issue"
Ability to create an Activity when clicking a phone number,"User is looking for a way to better manage their sales team and want to customize a way where when the phone number is clicked from Method, an activity is created with a time stamp.",X-Small (1 -2 hours),"Very simple customization to 'log' that a phone call was made.

On click, insert into table.
We could also provide a textbox, for a quick note on the call and whether it was completed or missed etc.",1,1,1,0.00,,
Ability to Cancel recurring donations from the customer portal,This organizaiton would like to add the ability for their Donor to change or cancel recurring donations from the customer portal.,X-Small (1 -2 hours),"This is certainly customizable. 

From a sales receipt or from the recurrence schedule we can provide a button that cancels the recurrence, we could also have a button that sends an email to the admin to cancel all workflows are possible - it's more along the lines of what the organization would prefer.",1,1,1,600.00,,
Ability to Choose Packages on Field crew,User is a pressure washing business and they would like the ability to have their Field crew offer multiple packages and add-ons on the field crew app where the customer can sign and commit,X-Small (1 -2 hours),"Certainly Possible;

We could design checkboxes or a dropdown where the a package is selected and adds a number of items to the field crew order.

Once added the customer could sign off on the package.",1,1,1,0.00,,
Tabbed Section Object  - Multi-Section Container - Dynamic Multiple Selection Object,"In an effort to make customization easier, it would be great to allow a dynamic multiple selection object, i.e. think of a radio button or section name/header that dynamically changes as needed via actions. One recent use case we ran into is when attempting to create a tabbed/sectioned screen based on sub-customer hierarchy. The idea was to show the different jobs/sub-customers as their own radio button regardless of how many there are. When selecting an option, we then show the user relevant details pertaining to that job. We can also think about the flow of the Proposals app where there are tabbed sections and allowing customizers to easily build solutions that reduces the efforts required for UI/UX improvements.",Cannot be customized,Cannot be customized.,1,1,3,"1,800.00",Team_-_Impact,
Ability to pause proposals,"The customer would like to know if  it is possible to pause a recurring proposal, for when their customers are away on vaction.
Use case: they are a trash removal company if they are away then we don't pick up their trash. Our area has a lot of wealthy people who keep 2 or 3 homes and come and go a lot whether for vacation or business here in DC but may have their main home in California. Also a lot of AirBNB properties",X-Small (1 -2 hours),"I believe this could be customized; however we would need to review the logic there are two approaches:

1.) Create an [  ] on hold proposal status of checkbox
2.) Then at this point, we could just create a $0 invoice automatically, so we can keep track of the 'hold' and report on how many 'hold' months the customer was on from both an invoice and proposal level.",1,1,1,600.00,,
Ability to create invoices via an email,"Customer is looking to have the option to create the Invoice from email. 

They are saying ' There are some other applications where you can forward an email invoice to a designated email address and the system will read the data and create the invoice. I.e OCR or other technology'
Is this possible?",Cannot be customized,Cannot be customized,1,1,1,600.00,,
Proposals Improvement - More Control to review recurring invoices before sending to customers,"Currently the customer uses the a proposals app to send engagement letters, collect signatures, and create recurring invoices.

However, they do not want method to automatically process payments.
Nor, do they wish to have automated emails go from Method to the customer.

This is because, every month, they want to issue a single invoice to the customer, which may or may not include add-ons or ad-hoc services relevant to that customer.",X-Small (1 -2 hours),"Small customization, as we can certainly just disable all external emails generated by proposals after the engagement letter has been signed and delivered.",1,1,1,0.00,,
Sync Improvement - Sync With Xero Tags,"Currently we tag transactions in Xero, it provides us with information that traditionally is not available in the core fields on a transaction.  In Particular sales reps. 

It would be great if these tags came over to Method.",Cannot be customized,Currently cannot be customized until the sync is updated to support tag sync.,1,1,2,0.00,,
Grids Export - Have The Ability To Export Using Different File Types,"Right now Grids allow you to export to CSV.

I know in the Generate Report action, we can have reports generated using different file types, such as PDF. It would be great if we have the same options when exporting a Grid. This will allow Users to work with certain fields and Advanced Search and create their own 'custom reports' without having to use the Report Designer.

In addition, it's really hard to work with a Grid and then use the Report Designer to print exactly what you see in the Grid. This will help avoid that issue as well.",Cannot be customized,"Today, this cannot be customized on the grid itself. 

We would need to mimic the same functionality using Dropdowns and Fields on screen to filter a report and then create that report on the report designer.
A report like this may take upwards of 3-4 hours to design, deploy and test.",1,1,1,0.00,Component_-_Grids,
Creating an HTML Estimate - Creating and HTML Invoice - Including Line Item information on the email,"Customer is requesting to use the EstimateLine description on email merge fields.

Ideally they would like to just show the descriptions and quantities directly in the email.",Small (3 -4 hours),"This can be customized and requires advanced HTML and Action Editor knowledge:

1.) You would first need to create a table in HTML (Table and Table Headers)
2.) Once this table is created as you loop through the transaction and insert (Table Rows)
3.) Each table row would merge the information from the transaction line
4.) Lastly, when the last table row is inserted you would need to then close the table.",1,1,3,"1,800.00",,
Ability to send portal one time code from a different email server.,The customer would like to know if it is possible to have the one time code to access the portal from their own email server. Some of their customers are not getting the code due to a security feature that blocks all non-US emails.,Cannot be customized,"Cannot be customized at this time, as these emails are system emails that originate from Method Servers.",1,1,26,"15,600.00",,
Top N option for data visualization,Ability to show the Top N records on grids as well as the chart widget. A simple example of this would be to show the Top 10 Professional Service Cases by Age. A more generic example would be to show the Top 10 items sold in the last year.,Small (3 -4 hours),This can be customized today by hardcoding for a limited range of records. We can also customize this through the Report Designer. Neither of these options make it simple for the end user to visualize basic business intelligence data.,1,1,45,"27,000.00",,
Work Order Routing - The ability to route a weeks worth of work orders vs. daily,"Ideally the customer would like to generate daily routes based on a weeks worth of work orders.

The goal here is to take a weeks worth of work orders and spread them out and efficiently as possible per tech over the course of the full week versus manually organizing the days and then routing the daily routes.",Cannot be customized,"This cannot be customized; however, that said, there are customizations we can do to help 'group' work orders that are alike to group or schedule them together.

For example, if a customer had 5 different towns or cities they work in. 
We could in theory organize work orders in certain cities to always be grouped together on a certain day, so that way the tech is only going in one direction / region / area at a time. 

Really, it's all about optimizing how people manually plan their work.",1,1,9,0.00,,
Ability to select from multiple time slots on the Work order app,"Our user would like a way to share timeslot options with their customers from the Work order app to offer more flexibility in booking jobs.

Once customer has confirmed, they would like the Workorder to be automatically updated.",X-Small (1 -2 hours),"Certainly customizable.

We can have a workflow that basically will allow the customer to select a period of time for example:

AM / PM

or 

9-12, 12-4, 4-8 
Then update the work order with that time, and build a process to determine if that slot is booked don't offer it to other people.",1,1,1,0.00,,
Ability to add WEBP type images to the email body,"The customer is interested in including a WEBP image in their email.
Currently, WEBP is not supported.

They mentioned 'This feature will allow us make our Lead and Donation pages look much more professional and aesthetically pleasing. Will not slowing down the load speed of these pages.'",Cannot be customized,"This cannot be customized; however, images can be converted to other formats and used - but webp support is still seeking broad adoption across platforms and devices.",1,1,1,0.00,Team_-_Impact,
Mailchimp Integration Improvement - Support importing Email Templates,"Customer likes our integration with QuickBooks but would like to import their templates from MailChimp to use our email campaign app. 


At this time it's difficult to design email templates and copying and pasting hasn't been effective so they've opt'd to continue sending from MailChimp.",X-Small (1 -2 hours),"In theory, we should be able to bring the source code  and html to our editor; however, there are challenges with how those emails are received and respond to different email clients like outlook vs. gmail.",1,1,7,"4,200.00",,
Method:Sidebar 'Search' function show entity information,"When searching from Method:Sidebar for Gmail, the returned contacts do not show the entity they are associated with. Searching a name who might have contact on many entities makes it difficult to select the right one.",Cannot be customized,Cannot be customized,1,1,1,0.00,,
Ability to add a Sales Rep field for QBO - That does not use Assigned To,"User would like the abilty to track outside sales reps with a custom field.

They would like this custom field to mimic the Assign to  in functionality and utilize this field for commission reporting.",Medium (5-10 hours),"This is a quite simple customization.

Just a custom dropdown field with Sales Rep name.
However, since all reporting is based on assigned too dozens of screens and charts with need to be updated to reflect that information. 

Futhermore, it's not future compatible just like any custom field all new functionality and reporting like screenlets will need to be manually updated to support the additional rep field.",1,1,1,600.00,,
Ability to Delete sent Proposals,"The customer would like the ability to delete sent proposals. 
Use case: I have a lot of proposals that I would like to delete. I was creating them and sending them to myself as I am learning how to use them.",X-Small (1 -2 hours),"This can be customized; however, it is by design.

Once an agreement is accepted we shouldn't delete it as a customer will have a copy of the same agreement, and we don't want it to go missing. 

The best recommendation here without customization, would be to mark the proposal as complete.",1,1,1,0.00,,
Improve Field Creation to Mimic last Field Type Used - Tables and Fields,"Partner is looking to have an ability when adding fields to Tables, the Type reverted to the last one used, not always to Text.
We have this feature in classic version.

Would be great if we can have this feature in Method new as  it makes adding multiple fields to a table so easy. You just need to arrange your List of fields to create by type and it is so efficient in classic.",Cannot be customized,Cannot be customized.,1,1,42,"25,200.00",,
API Improvement - The ability to Create Tables & Fields,"One aspect that's missing from the REST API that exists in the SOAP API is the ability to create tables and fields.

This is especially useful when creating integrations that require changes to the tables and schema without having to log into the ui and create those definitions manually.",Cannot be customized,Cannot be customized.,1,1,42,"25,200.00",,
Ability to delete Parent Work Order,"Customer is looking to have an ability to delete Parent Work Order that have no recurring or child work order.
As for now we can only delete the recurring work order that has not been invoiced/completed but for the Parent Work Order, we can only mark them as cancelled.
User is looking to have this feature as they are not using Work Order for Invoicing, they are only using it to assign the jobs to their technicians  and then deleting them afterward to clean up the space. 
Can this be customized on their account?",X-Small (1 -2 hours),"Yes, this can be customized.

The ability to delete a series is definately possible.",1,1,20,"12,000.00",,
Simplify the Proposal Workflow for Recurring or Non-Recurring Proposals,"This customer today, is not interested in doing any recurring proposals; however, they find the initial 'recurrence' option on the proposal setup screen confusing as it's set to 'Monthly' and hard-coded. 

This often requires us to explain to our users that this option has no impact on whether a proposal is actually recurring or not. 

In reality the recurrence option defined at the line level is the key factor to define the recurrence.",X-Small (1 -2 hours),"There is a simple customization here, where we can hide that initial recurrence menu from view. 

To avoid any confusion. 

Furthermore, we could improve the experience by bringing the cadence onto the item setup screen instead of the proposal as a whole to give more control over what items may recur at different intervals.",1,1,1,0.00,,
Contacts App Improvement - Adding Tax Exempt Field,"The customer would like to have the customer set to tax exempt be default  when creating a new customer or lead. 

Use case: Almost all customers we sell to our tax-exempt given the nature of our business, and the change has caused frustration with our bookkeeper. I was thinking if we could set the default to be tax-exempt, that would be the simplest answer.

By default it is unchecked in QBO as well.
Thinking we can improve our stock screens by giving an option on the 'New Contact' screen itself to check or uncheck that tax-exempt on that screen only.",X-Small (1 -2 hours),"This is a very simple customization; however, I think this would be beneficial in stock.

Especially in a scenario where we're creating leads and converting them to customers.
We want to make sure the lead is created in the correct format to be consumed by QuickBooks.",1,1,4,0.00,,
Xero Documentation On What Tables / Fields Sync,"Recently this customer wanted to apply customizations in Method. They wanted to bring over transactional Tags to be used and reported on. Through the customization process we found that we dont have access to this.

The customer was upset to get this news and wanted to make sure we have documented this limitation so that it can be referred to on future work for future customers.",Cannot be customized,"This would be amazing to help improve the knowledge of our customers and consultants.

Improving our Help Centre content as well.",1,1,2,0.00,,
Donations Charts - Chart for the Biggest Contributor,"Customer is looking for a custom report to highlight their largest donor from the last calendar year. 

This report is available in the sales receipt app but since they will be employing Donor Management, exclusively, can this be customized for the donations app.",X-Small (1 -2 hours),"Currently, the Sales Receipt App has a chart screen that is transferable. To the donation app. 

It includes details on the most popular items and donors. 

That said it would have to be configured for Donors and Donor Verbage.",1,1,1,0.00,,
Ability to Tag contacts based on Email Campaign,"Can we customize a way to tag/segment customers based on their Email campaign status, i.e open, clicked, bounced. Ideally, we want to capture contact segments who may have engaged with us by using tags. For example: Engaged - 2024 Promo Based off this we can then create new campaigns to target those users.",X-Small (1 -2 hours),"This is certainly possible: After the campaign has processed, we can evaluate the individual status of the contacts sent. Based off that: 
1.) We'd ask to create a Tag 
2.) Then attach that tag to the contact 
3.) Then the user would be able to filter or use that tag for future campaigns.",1,2,8,"4,200.00",,
Improve Opportunity Dropdown on Activities and related transactions,"Customer has a ton of W2L inquiries which start their sales workflow from the Opportunity app. 

Because of this, they have many Opportunities assigned to a holding bucket and are named New Business from the Web to Lead Form. 

Sometimes reps create activities on the fly and would like to be able to link the Activity to an opportunity. Finding the correct opportunity is not easy. 

They would like a way where the link to Opportunity field filters to only the Opportunity associated with the contact/customer and to have the Contact name (more informative fields) displayed vs the Name of the opportunity and assigned to.",X-Small (1 -2 hours),"Very simple customization.

In most cases the opportunity dropdown is filtered for the active contact.
That said we don't always know the name of the opportunity or the status.",1,1,8,"4,800.00",,
Audit Trail Improvement - The ability to filter on specific field changes,"The customer mentioned that 'What I am trying to do is filter the search in the Audit Trail to only show results for updated contacts that had their email updated.'

It would be great to have the ability to filter the data further.

The customer is looking to determine when the email field, was every changed via the audit trail.",Cannot be customized,"The Audit Trail cannot be customized; however In theory, we could create a customization where anytime the email field is changed.

The log should include:

1.) Who the customer was
2.) What the original email was
3.) What the new email is
4.) The date that change occurred
5.) Who made the change",1,1,24,"14,400.00",,
Ability to Create Sub-Fields or Related Fields - Two Dropdowns Related to one another,"Customer is looking to  create dynamic dropdown fields.

Based on what one dropdown value is, they want another dropdown to dynamically display options that correspond with the previous field.

If they change the value in field 1, the options in field 2 will dynamically change accordingly.

The example provided by them: There is a table that I have created for Sport, Level, and Division. In the sport drop-down, it would have Archery, Auto Racing, Badminton, and Baseball. If the value in sport is chosen to be 'baseball', then in the Level dropdown, the only options that would show would be 'Youth, Middle School, High School, College, Professional Elite, Recreational, and Retired'. Then if the value in Level is chosen to be College then the Division dropdown options would only be A blank option, D1, D2, D3, NAIA, Junior Community College, Club.",X-Small (1 -2 hours),"This can be customized; however it's a 3 step process:

1.) Create a dropdown for the main category (Let's say Sport)
2.) Create another dropdown for division (This is ex. Single A, Double A etc.)
3.) Then we need to create a table, that defines the relationship between dropdown A and Dropdown B.
4.) Based off of this, on the screen we can then use this relationship table to determine, when Basketball is selected, show all the divisions associated with Basketball and save that on the screen.",1,1,1,0.00,,
Ability to track Custom Category Subtotals on Transactions - Subtotal by Item Type,"Customer selling home and commercial security and would like to group and subtotal his estimate and invoices. 

These groupings may include Cameras, Hardware, Services and Misc, etc. 

They would like the customer interface to have subtotals under the group",X-Small (1 -2 hours),"1.) The first step would be to associate every item with a subtotal category. eg. Materials, Labour, Transportation

2.) Once this is done, this information would need to be updated and captured on the transactions.

3.) Once available on the transactions, on save we can summarize this information and show a breakdown of each category. This can be displayed as a dollar value or a % of total for example.",1,1,2,0.00,,
Ability to transfer attachements/pictures/documents from one account to another,"Aaron, our partner, was looking for a way to export and import all documents/pictures from a custom table with the Document and Picture type field to another account.
His client is creating a new method account and so would like to transfer the files to the account. The document field is a file field type, and the the Picture is a Picture type field (Table: Pictures)

As of now, we can't export documents or pictures using any feature in the platform today. Users have to manually download and upload these files one-by-one. This will be a great feature to have.",Cannot be customized,"While this cannot be customization in theory this could be possible via the API using two endpoints:

1.)https://developer.method.me/?_ga=2.183527968.782054154.1711463531-895868441.1697636792#tag/Files/operation/file-download 

This endpoint should allow you to download the file.

2.)https://developer.method.me/?_ga=2.183527968.782054154.1711463531-895868441.1697636792#tag/Files/operation/file-upload

This endpoint should allow you to upload the file.

That said, this has not been tested by the Professional Services team and is only a recommendation to help work around the flow.",1,1,3,0.00,Team_-_Impact,
Usage Score for Users - Report on Individual CRM usage,"Customer would like to customize a report that summarizes their team's CRM utilization. 

They have several roles in the business including Outside Sales, Inside, and Dispatcher, and want the report to be tailored to specific roles. 

Lastly, they would want a centralized usage KPI similar to our health score for each sales rep.",Medium (5-10 hours),"This could be customized; however, I love the idea of having this as a stock feature - driving people to onboard and adopt. 

Especially for champions and owners today. We do not have a sense of who is using and how often.

1.) The score should include mission completion
2.) Overall CRM usage

The (2nd) option could be custom designed in Method to determine how many creates or how many records the user is generating across the platform, essentially combining all the reporting screens into a single KPI or multiple KPIs for the team.",1,1,20,"12,000.00",,
Chart Improvement - Support for Multiple Data Sources - Multiple tables to be on charts - Multi-series - Multiple Series,"Customer Wants to compare estimates and Invoices based on lead source and visually see the comparison of each sources effectiveness.

Also in the chart builder the Line and Area Chart icons in the designer clearly show that more than one data set is available to be compared.

Eg. Multiple Sales Reps over time, each with their own line.
Eg. Multiple tables over time, estimates vs. invoices",Cannot be customized,"This cannot be customized with easy today. 
Two separate charts would need to be created.",1,2,4,"2,400.00",Team_-_Impact,
Recurring Sales Orders - Managing Orders that need to be fullfilled every x,"User is wondering if we can create recurring/scheduled Sales orders to manage their recurring distribution workflow. 

Similar to proposals but for Sales Orders.",Small (3 -4 hours),"I think a customization of this nature is possible within (1-2 hours) however, an expanded estimate is added here to make sure we cover. 

Naturally there are a lot of questions that go into a customization of this magnitude, certainly possible; however, the exceptions are always the most difficult to handle. 

1.) What cadence do we set the sales orders at
2.) What is the flow, is it always automated or initiated
3.) When do we know an order is recurring or not
4.) When do we know the recurrence should stop
5.) Are any notifications required to users. 
6.) If an order can't be fulfilled should another one be created?",1,1,1,0.00,,
Ability to add cc email to email campaign,"The customer would like to be able add a cc email  they  want to CC them so they can also email those that replied to my email campaign if  they are not available.

I tried testing this out by adding a cc email to the email template itself but did not receive an email maybe it can be done via customization?",X-Small (1 -2 hours),"This can be done via customization; however, it may impact analytics. 

Ideally, it is best practice to send 1 email to 1 recipient. 
This enables our tracking to be accurate to the user, who opened, clicked etc. the email. 

Once a CC or BCC is added, these analytics could be inaccurate since you now have multiple recipients receiving and interacting with the same email.",1,1,4,"2,400.00",,
QBDT Sync Report,"User would like a way to export a sync report from either the QBDT sync engine or in Product reporting on all modifications, updates, sync conflicts of the previous change-only/full sync",Cannot be customized,"The Audit Trail is the best way to keep track of sync's and changes. 
It's an ongoing report of credits, edits, and deletes. 

If there is something more specific the customer is looking for, we should explore the problem they're trying to solve.",1,1,17,"10,200.00",,
Attachment Widget Improvement - Allow For Height Control On Widget,"Request: Similar to how we can control the width of the Widget, it would be beneficial to be able to control the height of the widget. Currently we can only see a maximum of 4 at a time; regardless of if you extend the row of the cell the widget is on.

Benefit: If there are more than 4 attachments, we can see all of them at once instead of having to scroll through and find the specific attachments.

Use Case: Mobility City has a Documents App where all Tenants can view training documents. Some of the documents types have a lot of attachments. They don't want to utilize the 'Search in Screen' feature on their browsers as it would be one more thing to train users to do and not worth the effort. It would a lot easier if they can all be listed out without having the ability to scroll and see 4 at a time.",Cannot be customized,Cannot be customized.,1,1,27,"16,200.00",Team_-_Impact,
Opportunity App Improvement - The ability to choose what addresses are visible on the activity,"Customer would like addresses, specifically shipping addresses, to be visible in the opportunities app.

This would help empower their sales reps to plan and more important, execute their scheduled sales day on the field.",X-Small (1 -2 hours),"The fields to my knowledge already exist in the table
Therefore all that's required is:

1.) Add the fields to the screen
2.) Format them to respond like address fields

Keep in mind this information is just inherited from the customer linked to the contact",1,1,3,"1,800.00",,
Sales Order Notification - Internal Notification to User or Admin,User would like to customize a notfication via Email or SMS whenever a Sales Order is generated via Method and assigned to a user.,X-Small (1 -2 hours),"Can be customized.

SMS should be very light weight customization.
Email a little more heavy. 

1.) Create a field for phone number for user
2.) On save, notify rep / user?
3.) If yes send it.",1,1,2,0.00,,
Ability to Track Location on the Lineitem Level (QuickBooks Desktop / QBDT),User would like to track Location on all transactions at the lineitems level,X-Small (1 -2 hours),"Very simple customization.

Add a field to the line item should work. However, the issue isn't tracking location for most customers.

Most customers struggle with being able to identify:
1.) What item is located where?
2.) How much of that item exists at that location.

Method cannot do the above without some manual labour or cannot do it at all.

1.) Potential solution could be to list all the locations an item could exist on the item level. Then enable the user to select valid locations.

2.) Quantities by location however, are not possible at all. Method will always report on total quantity on hand.",1,1,2,0.00,,
Ability to lock the Sales Order once converted to Invoice,"User is wondering if they have the ability to close and make Sales Orders Uneditable once converted to invoice. 

This would allow them to manage change orders more effectively between Sales Managers and Sales reps",X-Small (1 -2 hours),"Can be customized.

Once a sales order line has been linked with an invoice line. 
We can lock down that sales order / sales order line.

Keep in mind that a sales order could be converted into multiple invoices. So we would need to explore, how sales orders are converted invoices.",1,1,2,0.00,,
Ability to search by organization - Search by Company,"The customer is looking to be able to search by organization, they would also like for the organization name to display in large letters when populating in the search.",Available in Stock Functionality,"This solution is available in stock.

However, for customized accounts, we could build a list or filter that prioritizes Company in the list view.
Alternatively, reverting to Stock would solve this customers problem if there are no major customizations in the list view.",1,1,1,600.00,,
Ability to Change the Status of an Estimate when a Work Order is Created from the Estimate,"1) User typically initiate their workflow by creating an estimate, followed by generating a work order based on this estimate.

2) Upon the creation of a work order from an estimate, users expect the status of the original estimate to reflect this action. Presently, the estimate's status remains unaltered, leading to confusion regarding the progress and conversion status of the estimate.

3) The customer has requested an option to automatically update the status of the estimate when a work order is generated from it. This update could include transitioning the estimate's status to 'Converted' or 'Closed,' indicating its progression in the workflow.",X-Small (1 -2 hours),Very possible; all workflows can be customized within 1-2 hours of time.,1,1,4,0.00,,
Shuttle Payments - Payment Gateway Support for Freedom Merchant,Ability to integrate with Freedom Merchant Payment Gateway,Cannot be customized,Cannot be customized today.,1,1,3,"1,800.00",Team_-_Impact,
Implementing Closing Date - Ability to lock the accounting period in Method,"Customer is looking to  lock the accounting period in Method so that no new sales/invoices can be generated once the period is locked.

They use the accounting lock feature in QuickBooks, but when  users generate sales/invoices in Method after the period is locked, they get sync errors.",X-Small (1 -2 hours),"This is certainly customizable.

We should be able to retrieve the closing date on the account.
Based off of that, restrict people's ability to create new transactions before this period on txndate change.",1,1,33,"19,800.00",,
Insight Dashboard for Donor Management,"User is wondering if we can customize a Donor specific insight dashboard with screenlets for recent donations, biggest donor year to date, LYBUNT, etc to bring a more graphic approach to the their Donor Dashboard.",X-Small (1 -2 hours),"Definitely possible.

30 minutes to 1 hour per screenlet. For lists it may be faster for LYBUNT for example, it's a little more difficult since there are some calculations required.",1,1,1,0.00,,
Show Transaction Lines on Email - Ability to see full transaction lines on email notification,The customer would like to know if is is possible to show the full transaction the in the email notification to customer. For example if an invoice notification is sent the want the customer to be able to see the full invoice from the email rather than clicking on the ' view email' button. They don't believe customer should to click the button and go to the portal and click the print button to see it.,Small (3 -4 hours),"This is possible. 

It does require some work as it requires a dynamic HTML table to be designed and added to with actions. 

1.) On the email template table create 4 new fields
2.) Table Header, Table Footer, Table Row Even, Table Row Odd
3.) In the send email action
4.) Define the table header
5.) As you loop through the items, append an item and merge it into the Table Row Even or Odd (this is useful for zebra striping)
6.) Lastly, before the loop is done, close the table with the table footer. 

Lot's of testing is required to make sure this looks good in email.",1,1,6,"3,600.00",,
Proposals Improvement - Quarterly Billing App,"Customer bills for services 4x a year.

They would like to have a proposal that bills every 3 months matching the calendar year.",Small (3 -4 hours),"Customizable; however, adjusting frequencies requires a tremendous amount of testing. 

So the bulk of this estimate revolves around testing.",1,1,6,0.00,,
Proposals Improvement - Retry Processing Payments when Payment if fails,IF the payment fails we currently do not retry it. We have a payment unsuccessful activity and preference to send an unsuccessful payment email to the client to take them to the portal.,X-Small (1 -2 hours),"I think this is a flag, We have a payment unsuccessful activity and preference to send an unsuccessful payment email to the client to take them to the portal.

We can likely bypass this flag to try and retry payments as often as needed.
However, we should be concerned about attempting to process a card too many times in a row with failure.",1,1,6,0.00,,
