Question,PrimaryTeam (from Components) (from Specific),Specific,General Category,Summary
The customer contacted us to inquire about the lack of specific item deletion information in the audit trail.,Service Delivery,stockapps- howto- workorders,"general support & issue resolution,other","Audit trail cannot show when a specific item is deleted from a work order.
Teammate checked and confirmed that the audit trail does not show specific item or work order deletions.
Customer provided work order number and item number for the deleted item.
Teammate is checking with the team to see if there is another way to find out when the item was deleted.
Team will create a feature request to include more detail in the audit trail for item deletions. Chat Link"
The customer contacted us for help deleting items from their Purchase History in Method.,Customer,catalogues- purchase history/ items purchased by customer,other,"• Customer needs help deleting items from their Purchase History in Method.
• Teammate offers to assist and asks for permission to access the account.
• Teammate confirms which items the customer wants to delete and successfully deletes them.
• Customer mentions an issue with items from MethodCRM, but teammate is able to delete them from their end.
• Teammate offers further assistance and customer is satisfied with the resolution.
Chat Link"
The customer contacted us to inquire about tracking received items from purchase orders in Method.,Sales,stockapps- howto- purchase orders,"general support & issue resolution,other","Method does not have a feature for tracking received items from purchase orders.
The purchase order status can be updated manually in a separate system.
Quantity on hand and on order in Method are updated from QuickBooks.
Teammate suggests reaching out with any additional questions.
Teammate wishes customer a great day. Chat Link"
The customer contacted us to resolve issues with invoices not syncing with QuickBooks and to rectify an Income Account for a specific item.,"Connect,Transactions","sync conflicts,invoices",general support & issue resolution,"Invoices 25161 and 24165-24172 are not syncing with QuickBooks.
Most of the invoices are in sync conflicts.
The teammate has created a case with support (case number: 58406) to further investigate the issue.
The customer needs to rectify the Income Account of a specific item to resolve the sync conflict.
The customer needs to provide a direct number for support to contact them.
Chat Link"
"The customer contacted us for assistance with changing an item's type, applying discounts, inserting a line on an invoice, and fixing the invoice printout order in Method due to QuickBooks limitations.","Connect,Transactions","qbdt sync,invoices","general support & issue resolution,other","Customer is trying to change an existing item's type to an inventory assembly in the Items app.
Method does not have the option to change categories due to QuickBooks limitations.
Customer is also having trouble with discounts not being automatically applied as a negative value.
Method does not have the ability to insert a line on an invoice.
Customer is also experiencing issues with the invoice printout alphabetizing by item instead of following the order on the screen. Chat Link"
The customer contacted us because they were experiencing sync corruption and unable to make items active again.,Connect,qbdt sync,"general support & issue resolution,other","• Customer is experiencing sync corruption and unable to make items active again.
• Teammate requests for item name and screenshot of sync engine.
• Teammate gains permission to access account and successfully makes one item active.
• Customer notices that items in Method and QuickBooks are not matching.
• Teammate resolves sync conflict and successfully updates information in QuickBooks. Chat Link"
The customer contacted us for assistance in changing the default email button on a sales order without affecting other modified items on the page.,Customer,customization,other,"Customer needs help changing default email button on sales order without changing other modified items on the page
Teammate suggests creating a copy of the screen to replicate default button, which would require manual re-adding of button and actions
Customer has admin permissions but dropdown menu to change default email template is greyed out
Teammate confirms issue is being worked on by development team and offers to select template for customer in the meantime
Teammate updates email and print templates for customer and asks for confirmation and feedback. Chat Link"
The customer contacted us to inquire about mass deletion of items in our system.,Customer,customization,"general support & issue resolution,other","Method does not have a feature to mass delete items, but it can be done through customization.
Mass deletion is a risky process and should be done with caution.
The Import/Export tool or customized screens can be used for mass updates or deletions.
When using the 'Delete Records from Table' action, conditions must be set to specify which records to delete.
Deleting records is permanent and cannot be undone. Chat Link"
The customer needs help with adding a category to filter out items in a customization.,Customer,customization,other,"Customer needs help with adding a category to filter out items in a customization.
Teammate asks for more details and workflow.
Customer explains that in Method Classic, they could search items by item or description, but in the new version, they can only search by item.
Customer has over 1100 products and needs a way to consolidate when generating estimates.
Teammate asks for a screenshot from Classic to compare with the new version. Chat Link"
"The customer contacted us regarding missing instructions and notes in the time tracking app, inability to add work receipts in the field crew app, and issues with payroll items not being automatically added.",,stockapps how-to,how-to,"Instructions and notes missing from time tracking app for some employees
Unable to add work receipts in field crew app
Notes not showing up in time entries for completed jobs
Instructions used to be added to time tracking app when clocking in and out of a job
Payroll item not automatically added to time tracking, causing issues with Hourly Wage Direct Chat Link"
The customer is experiencing an error message when trying to push a line item to a sales receipt and is having trouble sending multiple line items to Method through Zapier.,,"stockapps how-to,icr-cs,icr-ps","miscellaneous,how-to,general support & issue resolution","The customer is experiencing an error message when trying to push a line item to a sales receipt.
The error message is due to a typo in the field name ''SalesReceiptRecordID''.
The customer is also having trouble sending multiple line items to Method through Zapier.
The teammate suggests discussing this with the customization team and using the 1 hour of free customization with a consultant.
The customer will try a solution suggested by Zapier's AI and will reach out to the customization team if it doesn't work. Chat Link"
The customer contacted us because they were having trouble saving an estimate with items at quantity 0.,"Customer,Sales","customization,stockapps- howto-estimates",other,"Customer is having trouble saving an estimate with items at quantity 0.
Teammate suggests adding items through the Line Items grid and saving the entire estimate.
Customer is still receiving an error message.
Teammate offers to customize the account for a fee to allow for this feature.
Customer will discuss with their boss and may explore other options. Chat Link"
The customer contacted us to request assistance with adding the Purchase History app to their account and to inquire about a report of purchase history for a specific item.,Customer,catalogues- purchase history/ items purchased by customer,"general support & issue resolution,other","Purchase History app can be added to the account by Success Manager Shane.
Book a time with Shane to get assistance with adding the app.
Teammate is checking in to see if the customer has received their previous message.
Teammate is offering to help the customer with any further questions or concerns.
Customer is looking for a report of purchase history for a specific item. Chat Link"
The customer contacted us because they are experiencing issues with the Method connector not updating all items and receiving an ''Insufficient permission level to perform this action'' error.,Connect,qbdt sync,other,"The customer is experiencing issues with the Method connector not updating all items.
The customer is receiving an ''Insufficient permission level to perform this action'' error.
The teammate suggests checking the QuickBooks sync and changing permissions for the MethodIntegration folder.
The customer asks about the permissions applying every time the connector runs.
The teammate provides information about the Method Integration Engine and suggests checking the knowledge base for more information. Chat Link"
The customer contacted us with a question about being unable to select certain items on the Invoices tab.,"Customer,Admin,Transactions","customization,permissions,icr-cs,icr-ps,invoices","miscellaneous,general support & issue resolution,other,user & account management","User has a question about ''runsheets'' on the Invoices tab and is unable to select certain items.
Teammate assists with troubleshooting and discovers that the issue is related to user permissions.
Teammate schedules a call to further discuss the issue and schedules a free customization hour for the customer.
Teammate provides instructions for granting access to the Invoices app for specific users.
Teammate follows up to ensure the issue has been resolved and schedules a follow-up call for the next day. Chat Link"
The customer contacted us to inquire about selectively syncing items in QuickBooks.,Customer,"customization,icr-cs,icr-ps","miscellaneous,general support & issue resolution,other","• Method does not have an option to selectively sync items, but there are ways to control how data syncs between QuickBooks and Method.
• The consulting team can help with customizations to hide certain items for specific users.
• There is 1 hour of free customization available with a consultant, who can work with the customer over a screen share.
• The customer can book a time slot from the consultant's calendar.
• There are no available time slots for today, so the customer will need to select a time and date from the available options. Chat Link"
The customer contacted us due to experiencing sync errors in QuickBooks related to incorrect item order.,Connect,qbdt sync,other,"Customer is experiencing sync errors in QuickBooks with an error message related to incorrect item order.
Teammate requests permission to access customer's account and is investigating the issue.
Teammate requests a screenshot of the invoice with the line item from QuickBooks.
Teammate creates a case with support to further investigate the issue and provides customer with case number and support contact information.
Teammate checks in with customer and closes the chat, but offers to continue helping if needed. Chat Link"
The customer contacted us with questions about customizing and rearranging line items in an estimate.,Customer,customization,other,"Customer has a question about rearranging line items in an estimate.
Teammate suggests consulting with Aleks Radman for customization.
Teammate confirms that out of the box, there is no way to rearrange line items.
Customer has additional questions about adding blank rows and assigning numbers to estimates.
Teammate confirms that blank rows with no dollar value are not possible, but adds customer's account to a feature request for this. Chat Link"
The customer contacted us to resolve an issue with items automatically unticking 'Used on Purchase Transactions'.,Sales,stockapps- howto- items,other,"Customer experiencing issue with items automatically unticking 'Used on Purchase Transactions'
Teammate suggests enabling ''I purchase this service from a supplier'' checkbox and adding a cost to fix the issue
Customer provides example of item and gives permission for teammate to access account
Teammate confirms solution and provides screenshot for reference
Customer confirms solution worked and thanks teammate for assistance. Chat Link"
The customer contacted us to report conflicts in their Method account after creating new inventory items on Method instead of QuickBooks.,Connect,qbdt sync,other,"Customer experiencing conflicts in Method account after starting to create new inventory items on Method instead of QBs
Teammate creating a case for support to investigate the issue
Case number #53581 created for support to contact customer
Customer provided cell phone number for callback
Teammate checking in and offering further assistance if needed Chat Link"
The customer contacted us because they are having an issue with line items being added to the top of the list instead of the bottom in Method's Estimates feature.,Sales,"icr-cs,icr-ps,estimates","miscellaneous,general support & issue resolution","User has an issue with Estimates in Method.
Teammate suggests steps to resolve the issue.
User requests to connect with an agent.
Teammate offers assistance and asks for permission to access the account.
User is experiencing an issue with line items being added to the top of the list instead of the bottom. Chat Link"
The customer contacted us because they were having an issue with an item on ICON IMSCO12.SG.,Connect,qbdt sync,other,"• Customer is having an issue with an item on ICON IMSCO12.SG.
• Teammate requests permission to access customer's account and asks for a screenshot of the sync engine.
• Teammate attempts to save the item and runs a sync, resulting in success.
• Customer confirms the issue is resolved.
• Teammate closes the chat but offers to continue helping if needed. Chat Link"
The customer contacted us for assistance with filling out cost in the Items app for price list development.,Sales,stockapps- howto- items,"general support & issue resolution,other","Customer has a question about filling out cost in the Items app for price list development.
Teammate requests a screenshot and offers to assist further.
Teammate suggests filling out cost if the item is used on Purchase Orders.
Teammate offers to access the account and recommends removing cost if it is not accurate.
Teammate confirms that the Cost field syncs between QuickBooks and Method. Chat Link"
The customer contacted us for assistance with adjusting their screen to see all columns when creating a sales order from the purchase history or items purchased screen.,,fin answered,other,"The customer is having trouble adjusting their screen to see all columns when creating a sales order from the purchase history or items purchased screen.
The teammate suggests using the gear icon or customizing the grid to adjust the column visibility.
The customer is unable to access the 'Manage' option and may need to contact their account administrator for the appropriate permissions.
The teammate asks for the name of the screen and permission to access the account.
The teammate checks in and offers to continue the conversation if needed. Chat Link"
The customer contacted us for assistance in connecting their Xero subscription to Method and importing items.,Connect,xero,other,"• User is struggling to connect their Xero subscription to Method and cannot find the settings in Method.
• Teammate suggests following steps to connect Xero with Method and mentions the need to be an administrator on Xero account.
• User already has a customized Method account and wants to connect it to Xero.
• Teammate confirms that it is not possible to connect the existing account and suggests creating a new one, offering a complimentary hour of customization.
• User is having trouble importing items and teammate suggests trying to import one or two records first and seeking help from consulting team. Chat Link"
The customer contacted us to find a solution for keeping field crew notes off of item descriptions in work orders and sales orders.,Customer,customization issues,other,"• Customer wants to keep field crew notes off of item descriptions in work orders and sales orders.
• Teammate asks for permission to access account and create a test work order to investigate the issue.
• Customer explains that field crew notes automatically appear in the item description after being added in the field crew app.
• Teammate is unable to find a solution and suggests using 1 hour of free customization with an in-house consultant.
• Customer thanks teammate and agrees to schedule a customization session. Chat Link"
The customer contacted us for assistance with invoice line item placement and unresolved customization issues with Method.,Transactions,invoices,general support & issue resolution,"Customer is having difficulty with invoice line items not saving in desired order.
Teammate suggests entering shipping charges in designated field below line items grid and saving entire invoice to ensure proper placement.
Customer requests to connect with an agent for further assistance.
Teammate offers to assist and schedules a customization session for customer.
Customer also mentions unresolved issues with Method and difficulty finding certain customization options. Chat Link"
The customer contacted us because sales items with a price in Quickbooks were not showing on the donation page.,Transactions,"stockapps- howto- donor pages,icr-cs,icr-ps","miscellaneous,general support & issue resolution,other","Sales items with a price in Quickbooks are not showing on the donation page.
The error was caused by a required field for the donation amount.
Adding values to the field resolved the issue.
A case has been created for further investigation.
The case number is 57201. Chat Link"
The customer contacted us with a question about filtering items by preferred vendor in sales reports.,,stockapps how-to,how-to,"Customer has a question about filtering items by preferred vendor in sales reports
Teammate offers to access customer's account and confirms customization is possible but will be a billable service
Teammate checks in and offers to continue conversation if needed
Teammate closes chat and offers to pick up conversation at any time
Customer gives permission for teammate to access account. Chat Link"
The customer contacted us for assistance with invoice line items not saving in the desired order.,Transactions,invoices,general support & issue resolution,"Customer is having difficulty with invoice line items not saving in desired order.
Teammate suggests entering shipping charges in designated field below line items grid and saving entire invoice to ensure correct placement.
Teammate offers to assist with customization and suggests booking a free hour with in-house consultant.
Customer also has issue with dates appearing in grid and teammate provides steps to remove them.
Teammate creates case with support for customer's issue with invoice numbers not syncing with QuickBooks. Chat Link"
The customer contacted us to inquire about rearranging items on an estimate.,Customer,customization,other,"• The customer is asking if they can rearrange items on an estimate.
• The teammate informs them that this may require additional customization and is a billable service.
• The customer expresses frustration that this is not a stock feature.
• The teammate offers to pass on the feedback to the development team.
• The teammate also offers the option of hiring a consultant to implement the feature immediately.
Chat Link"
The customer contacted us regarding an issue with the audit trail not showing when a specific item is deleted from a work order.,Service Delivery,stockapps- howto- workorders,"general support & issue resolution,other","Audit trail cannot show when a specific item is deleted from a work order.
Teammate is looking into the issue and will share findings soon.
Audit trail only shows general deletes, not for specific items or work orders.
Customer's contact information: Scott Underwood, scottu@iaequip.com, 463.202.8513, 765.686.1041.
Customer is satisfied with the response. Chat Link"
The customer contacted us because they were unable to export the 'item' table from integrations.,Admin,data import/export,"general support & issue resolution,other","Customer unable to export 'item' table from integrations
Teammate offers to investigate and requests permission to access account
Customer grants permission
Teammate successfully downloads sheet with all items
Customer experiences issue with fields not showing, but resolves after multiple attempts Chat Link"
The customer contacted us to resolve an issue with the Custom Item Pricing field on their contact page.,Customer,"customization,stockapps how-to","how-to,general support & issue resolution,other","Custom Item Pricing field on contact page not showing all items as intended
Teammate accessed account with permission and identified incorrect criteria setup
Steps provided to change criteria and test on draft version before publishing
Issue resolved and customer satisfied with solution
Chat closed, customer encouraged to contact for further questions or concerns. Chat Link"
The customer contacted us for assistance with pulling the correct U/M set from QuickBooks for items with temporary U/M sets.,Sales,"stockapps- howto- items,icr-cs,icr-ps","miscellaneous,other","• Customer needs help pulling correct UM Set from QB for items with temporary U/M set
• Method does not recommend changing UOM sets due to syncing issues
• Suggested solution is to create new items with correct UOM
• Teammate created a case for support to investigate the issue (#57611)
• Support will reach out to customer via email (preferred contact method)
Chat Link"
The customer contacted us because they were missing the Items app on their dashboard.,Admin,permissions,user & account management,"Customer is missing the Items app on their dashboard.
Teammate asks for permission to access the account and resolves the issue by refreshing the dashboard and selecting the correct filter.
Customer is unable to add items to purchase orders, teammate suggests checking the box and adding a purchase cost to the items in the Items app.
Customer follows instructions and is able to add items to purchase orders.
Teammate offers further assistance and customer expresses gratitude. Chat Link"
The customer contacted us due to experiencing an error caused by deleted items in their transactions.,Connect,"sync conflicts,icr-cs,icr-ps","miscellaneous,general support & issue resolution","Customer experiencing error due to deleted items in transactions
Teammate created case #57650 with support to investigate further
Support will be in touch with customer
Teammate available for further assistance
Customer advised to restore deleted items to resolve issue. Chat Link"
The customer contacted us because their items were not showing descriptions on estimates in QuickBooks Online.,Sales,stockapps- howto-estimates,"general support & issue resolution,other","Customer's items were not showing descriptions on estimates in QuickBooks Online.
Teammate suggested adding descriptions in the Line Items grid and saving the estimate.
Customer was able to see descriptions when printing the estimate.
Teammate mentioned that customers can also access transaction details on their portal.
Teammate offered further assistance and wished the customer a good day. Chat Link"
The customer contacted us because they were unable to find items in their Purchase Orders and had questions about missing options on the Purchase Order screen.,Connect,qbo sync,financial & payments,"The customer was unable to find items in their Purchase Orders.
The teammate suggested enabling a checkbox and adding a cost to make the items available.
The customer tried the recommendation and it worked, but had to add a $1 rate.
The customer had another question about missing options on the Purchase Order screen.
The teammate checked and found that the ''wait for sync approval'' option is visible when creating a new Purchase Order, but is looking into the missing email and close buttons. Chat Link"
The customer contacted us to inquire about exporting a CSV of all active items with all fields.,,fin answered,other,"Customer is looking to export a CSV of all active items with all fields.
Method's Export Tool can be used to do this.
Steps to export: go to Integrations, click Export, select table, choose ''Select all fields'', add filter for active items, click Export.
Number of fields may affect maximum number of records that can be exported.
Teammate checked in with customer and closed the chat, customer can re-open if needed. Chat Link"
The customer contacted us to request the removal of the purchase cost tab when adding items and to discuss invoice customization options.,"Customer,Sales,Transactions","customization,stockapps- howto- items,free hour booked - csr,invoices",other,"Customer has a request to remove the purchase cost tab when adding items.
Teammate confirms the request and offers to help.
Customer also has other requests regarding invoice customization.
Teammate offers to book a customization session for the customer.
Customer confirms a time and provides their phone number for confirmation. Chat Link"
The customer contacted us to book a free hour of customization for Method's Web Report Designer to view product revenue data per item for each customer.,,,general support & issue resolution,"Method's Web Report Designer can be used to generate reports based on product revenue.
Customization may be needed to view product revenue data per item for each customer.
1 hour of free customization is available with a Method consultant.
The customer has booked a free hour for Friday at 11:30 am, Aug 16th.
The customer has received a confirmation email for the booking. Chat Link"
The customer contacted us for assistance with finding an API endpoint to update/create/delete items in Method.,Connect,"api,icr-cs,icr-ps","miscellaneous,general support & issue resolution,integrations & connectivity","Customer is a developer for a company with a Method account
Customer is looking for an API endpoint to update/create/delete items in Method
Teammate suggests consulting the Method API article and posting on the API/developer forum for further assistance
Teammate also suggests reaching out to a developer or a Method partner for help with building the connection
Teammate asks for specific feedback on the API documentation to improve it in the future. Chat Link"
The customer contacted us to address a glitch with an Item Receipt from May 13th causing issues with Method sync and to temporarily stop syncing inventory while getting the QB's file fixed.,Connect,"qbdt sync,icr-cs,icr-ps","miscellaneous,other","QB's file has a glitch with an Item Receipt from May 13th, causing issues with Method sync.
User wants to stop syncing inventory temporarily while getting QB's file fixed.
Teammate will look into the issue and provide further information.
Teammate and user will join an online session to watch the update.
Teammate has fixed the connection failure error and created a case for the issue with deleted Item Receipts. Chat Link"
The customer contacted us with a question about items syncing from Quickbooks to Method.,Connect,"qbo sync,icr-cs,icr-ps","miscellaneous,general support & issue resolution,financial & payments","• Customer has a question about items syncing from Quickbooks to Method.
• Teammate confirms that all items generated in Quickbooks should be synchronized with Method.
• Teammate asks for clarification on the customer's inquiry.
• Teammate provides a link to an article for more information on the items app in Method.
• Teammate checks in with the customer and offers to continue the conversation if needed. Chat Link"
The customer contacted us to schedule a free customization hour with our in-house consultants for assistance with fixing items.,Customer,customization issues,other,"• Customer is interested in engaging with professional service team for assistance with fixing items.
• Method offers 1 hour of free customization with in-house consultants.
• Consultant can complete customization projects over a screen share.
• Customer can choose a slot from consultant's booking calendar.
• Customer has scheduled free customization hour for April 16th at 11:30 AM. Chat Link"
"The customer contacted us for assistance with bulk uploading items into Method, which will replicate into QB.",Sales,stockapps- howto- items,"general support & issue resolution,other","Customer is looking to bulk upload items into Method, which will replicate into QB.
Teammate recommends checking an article for information on item categories and suggests booking a slot with a consultant for help with bulk importing.
Customer found a link and is currently testing it.
Teammate suggests booking a time with success manager for further assistance.
Teammate will close chat but is available for further help. Chat Link"
The customer contacted us regarding an issue with grouped items pricing not displaying correctly in QuickBooks and Method.,Sales,stockapps- howto- items,other,"• Grouped items pricing in QuickBooks is not displaying correctly in Method.
• QuickBooks does not allow the Rate and Amount fields for grouped items to display any value other than zero.
• This is a limitation within QuickBooks and cannot be adjusted in Method.
• Printable transaction PDFs will show the correct Rate and Amount for grouped items.
• The values do not appear on the New/Edit screens or in the Customer Portal, but they are still reflected in the PDFs.
Chat Link"
The customer contacted us for assistance with importing a CSV file into the Item table.,Admin,data import/export,"general support & issue resolution,other","Customer is having trouble importing a CSV file into the Item table.
The Name field is not displaying and only the update option is available.
Customer has set up correct permissions for using the API and Import and Export tool.
Teammate suggests selecting the ''ItemNonInventory'' table and removing RecordIDs to successfully import a Non-Inventory item.
Customer confirms that the solution worked and thanks the teammate for their help. Chat Link"
The customer contacted us to inquire about the organization of items in the rental fleet.,,,,"Customer is inquiring about the organization of items in the rental fleet, specifically why some are organized by date and others are not.
Teammate asks for clarification on the specific feature or report the customer is referring to and if they want to change the organization.
Teammate offers to assist but needs more information from the customer.
Teammate checks in to see if the customer is still there and if they have received the previous message.
Teammate informs customer that they will close the chat but are available to continue the conversation at any time. Chat Link"
The customer contacted us for assistance with incorrect $ amounts in the Items section and incorrect attachment of Sales Estimate in emails.,,"icr-cs,icr-ps","miscellaneous,general support & issue resolution","Customer needs help with two things: incorrect $ amounts in Items section and incorrect attachment of Sales Estimate instead of Invoice in emails.
Teammate accessed customer's account with permission and recommended steps to correct rounding of fields in Items section.
Teammate also suggested changing caption and publishing the screen.
Teammate is investigating the issue with incorrect attachment of Sales Estimate and will provide updates.
Customer also has a question about accepting estimates via mobile phone, which teammate is also investigating. Chat Link"
The customer contacted us because their invoice was not syncing with QuickBooks due to a conflict with an item that had not been sent to QuickBooks.,"Connect,Connect,Transactions","sync conflicts,qbo sync,invoices","general support & issue resolution,financial & payments","• Invoice 24021 not syncing with QuickBooks due to a conflict with the item ''Vodka 750ml (1/2 Case (6))'' which has not been sent to QuickBooks.
• Select the correct ''income account'' for the item and retry sync.
• Cannot associate a product or service with certain account types (e.g. Accounts Receivable and Accounts Payable).
• Once the issue is resolved, the invoice should sync properly.
• Teammate accessed the account to investigate the issue and provided a solution.
Chat Link"
The customer contacted us for assistance with transferring customization from an estimate to an invoice and creating multiple line items for labor rates.,"Customer,Transactions","customization,invoices",other,"Customer has questions about transferring customization from estimate to invoice
Teammate offers to help and confirms permission to access account
Customer also has question about creating multiple line items for labor rates
Teammate suggests booking time with consulting team for customization and offers 1 hour of free customization
Customer has figured out labor rates but customization is needed for ''scope of work'' to transfer to invoice. Chat Link"
The customer contacted us to learn how to add a new item to the 'CaseType' dropdown field in their 'Cases' app.,Admin,data import/export,other,"• The customer is looking to add a new item to the 'CaseType' dropdown field in their 'Cases' app.
• To do so, they will need to create a screen to manage the dropdown values.
• The customer can do this by going to the 'Cases' app, selecting the vertical ellipsis, and clicking 'Manage'.
• They can then create a screen, name it, and choose the 'CaseType' table as the base table.
• The customer must be familiar with customization to perform these steps, and some dropdown tables from QuickBooks cannot be edited. Chat Link"
The customer contacted us to inquire about hiding the ''Items'' column when printing or sending estimates in Method.,"Customer,Sales","report designer,icr-cs,icr-ps,estimates","miscellaneous,general support & issue resolution,other","Customer wants to hide the ''Items'' column when printing or sending estimates in Method.
Teammate suggests using templates to control the appearance of estimates.
Teammate asks for clarification on whether the entire item grid or just specific columns should be hidden.
Customer confirms they only want to hide the ''Items'' column for the client's copy.
Teammate makes the necessary changes to the print templates and will continue assisting via email. Chat Link"
"The customer contacted us regarding issues with tax calculation, sales tax on line items, deposit calculation on estimates, and importing deleted tax codes.",,,general support & issue resolution,"• Tax column NON or TAX makes no difference in tax calculation
• Issue with sales tax on line items resolved by changing IsTaxable flag
• Deposit issue on estimates - discount calculated on balance instead of total
• Importing deleted tax code created additional lines in work orders
• No way to reverse import, requires customization to delete multiple lines Chat Link"
The customer contacted us for assistance with a specific item not appearing in advanced search on the Royalty sales screen.,Customer,customization issues,other,"• Customer is unable to pull up a specific item in advanced search on the Royalty sales screen.
• Teammate requests for more information and permission to access the account.
• Customer provides details and mentions issues with skus CATL1319PM and CATL70120TC.
• Teammate suggests contacting consulting team for customization issues, which is a billable service.
• Teammate provides contact information for support team. Chat Link"
The customer contacted us for help with an issue regarding an hourly rate changing to 150 after adding an item to the estimate.,Customer,customization,other,"Customer needs help with an issue regarding hourly rate changing to 150 after adding an item to the estimate.
Teammate offers to help and schedules a screen share.
During the screen share, the issue is resolved by changing the amount under the item column in the GridBuilder.
The customer is satisfied with the solution and the teammate recaps the call and offers further assistance if needed.
Teammate thanks the customer for their patience and the customer is reminded to reach out with any additional questions. Chat Link"
The customer contacted us to search for all sales orders for a specific item.,,stockapps how-to,"how-to,general support & issue resolution","Customer needs to search all sales orders for a specific item
Teammate offers to access customer's account and customize the search
Teammate suggests discussing with Aleksandar Radman for dedicated account
Teammate checks in and offers to continue conversation if needed
Teammate closes chat and encourages customer to reach out for further help. Chat Link"
The customer contacted us for assistance with sending estimates to an additional email address and inquiring about re-sending estimates with updated scope and moving list items.,"Transactions,Sales","email settings,icr-cs,icr-ps,estimates","miscellaneous,general support & issue resolution,support & communication","Customer needs help sending estimates to an additional email address.
Teammate offers two options: adding CC to the email or adding CC to the email template.
Customer chooses to add CC to the email template and teammate provides steps to do so.
Teammate offers to do a screen share to assist with the process.
Customer also asks about re-sending estimates with updated scope and moving list items in an estimate. Teammate provides solutions and adds customer's account to a feature request for moving list items. Chat Link"
"The customer contacted us to request itemized copies of invoices and credit card receipts for the past 2 months, as well as access to invoices for another account and the option to add multiple billing contacts.","Growth,Transactions","billing,invoices",other,"The customer needs an itemized copy of invoices and credit card receipts for the past 2 months.
The teammate suggests using Method's Sales Receipts App to print or email the receipts.
The teammate offers to access the customer's account and send the receipts via email.
The customer also needs copies of invoices for another account, and the teammate provides a link to access them.
The customer can have multiple billing contacts on the account. Chat Link"
The customer contacted us for help with importing inventory items and contacts from spreadsheets.,Admin,data import/export,other,"Customer needs help with importing inventory items and contacts from spreadsheets
Teammate offers assistance with personalizing Method for the customer's business needs
Examples of previous customization work include importing leads and contacts, designing workflows, creating custom reports, and capturing advanced customer/sales details
Teammate asks for more details on what the customer needs help with
Teammate provides steps for importing inventory items through Method's integrations feature Chat Link"
The customer contacted us because there was an issue with the syncing of their sales order and invoice for West Family Farm and Bennett Nolan due to an extra line with no item attached.,"Connect,Transactions","qbdt sync,invoices","general support & issue resolution,other","West Family Farm has an invoice and sales order that are not syncing with QB.
The sales order and invoice are in conflict due to an extra line with no item attached.
The extra line has been removed and the sync has been completed.
The issue is also present with Bennett Nolan's sales order.
The extra line has been removed and the sync has been completed for Bennett Nolan as well. Chat Link"
The customer contacted us for assistance with streamlining their processes and importing items with markups and margins.,"Admin,Customer","data import/export,customization","general support & issue resolution,other","Teammate offers free 1-hour customization session to help streamline customer's processes.
Teammate provides live demo option for customer to learn more about account.
Customer is looking for an item template to import parts and set markups and margins.
Teammate recommends working with customization expert for accurate and seamless import of items.
Teammate shares article with customer for import templates and advises on identifying and mapping data for database migration to Method. Chat Link"
The customer contacted us for assistance with service items not populating on recurring work orders.,,,general support & issue resolution,"Customer is having trouble with service items not populating on recurring work orders.
Recurrence schedule may not be correctly configured.
Teammate suggests customization to automatically copy service items to recurring work orders.
Customer gives permission for teammate to access account and mentions having many work orders to enter.
Teammate provides booking calendar for customization and encourages customer to explore Help Center for customization resources. Chat Link"
The customer contacted us because they were experiencing sync errors on their invoice and estimates were not syncing due to amounts not associated with items.,"Connect,Transactions,Sales","sync conflicts,invoices,estimates",general support & issue resolution,"Customer has a sync error on an invoice and has not received any emails.
Teammate asks for permission to access the account and resolves the issue.
Customer has a similar problem with estimates not syncing due to amounts not associated with items.
Teammate creates a case for support to resolve the issue and provides case number.
Teammate resolves some estimate sync conflicts but others return and are noted for the support agent to resolve. Chat Link"
The customer contacted us because they are experiencing an issue with items changing after saving and invoicing.,Connect,qbdt sync,other,"Customer is experiencing an issue with items changing after saving and invoicing.
Teammate is investigating the issue and has requested permission to access the account.
The issue seems to be with the invoice, specifically the item ''additional'' changing to ''notes'' and the price becoming zero.
Teammate is checking if this is happening on other sales orders and has requested a screenshare.
After checking the audit trail, teammate discovered that the line item was made inactive after the invoice was created and updates were made in QuickBooks. Chat Link"
